TIME,CHAN1
3265.0,0.30625
3267.5,0.296875
3270.0,0.30625
3272.5,0.296875
3275.0,0.30625
3277.5,-0.003125
3280.0,-0.003125
3282.5,0.00625
3285.0,0.003125
3287.5,-0.003125
3290.0,0.00625
3292.5,-0.00625
3295.0,-0.003125
3297.5,0.00625
3300.0,-0.003125
3302.5,0.303125
3305.0,0.296875
3307.5,0.30625
3310.0,0.296875
3312.5,0.30625
3315.0,0.30625
3317.5,0.296875
3320.0,0.30625
3322.5,0.296875
3325.0,0.30625
3327.5,-0.003125
3330.0,-0.003125
3332.5,0.00625
3335.0,-0.003125
3337.5,0.00625
3340.0,-0.003125
3342.5,0.003125
3345.0,0.003125
3347.5,-0.00625
3350.0,-0.00625
3352.5,0.303125
3355.0,0.296875
3357.5,0.30625
3360.0,0.30625
3362.5,0.296875
3365.0,0.30625
3367.5,0.296875
3370.0,0.30625
3372.5,0.296875
3375.0,0.30625
3377.5,-0.003125
3380.0,-0.003125
3382.5,0.00625
3385.0,-0.003125
3387.5,0.00625
3390.0,0.00625
3392.5,-0.00625
3395.0,-0.003125
3397.5,0.00625
3400.0,-0.003125
3402.5,0.303125
3405.0,0.296875
3407.5,0.30625
3410.0,0.30625
3412.5,0.296875
3415.0,0.296875
3417.5,0.30625
3420.0,0.30625
3422.5,0.296875
3425.0,0.30625
3427.5,-0.003125
3430.0,-0.003125
3432.5,0.00625
3435.0,-0.003125
3437.5,0.00625
3440.0,0.00625
3442.5,-0.00625
3445.0,-0.00625
3447.5,0.00625
3450.0,-0.003125
3452.5,0.303125
3455.0,0.296875
3457.5,0.30625
3460.0,0.30625
3462.5,0.296875
3465.0,0.30625
3467.5,0.296875
3470.0,0.30625
3472.5,0.296875
